#OTU ID	Bagnoud_soil3	Bagnoud_soil2	Humbert1_enrich	Humbert1_VS	Humbert1_Cad	Humbert1_CdV	Humbert1_LL	Humbert1_LN	Humbert1_Cam	Humbert1_GC	Humbert1_Bo	Zhu_2011	Dong_2010	Humbert2_soil3	Humbert2_LL	Hu_2011	Sher_2012	Hu_2013	Wang_2013	Shen_2013	Han_2013	Shen_2014	Yang_2015	Shen_2015	Shen_2016	Sato_2012	Naeher_2015
OTU4	7	0	0	0	0	0	1	0	0	0	0	12	0	5	9	1	0	1	0	0	0	0	9	0	1	20	0
OTU5	2	4	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	23	0	0	0	0	7	2	1	18	0
OTU1	6	0	0	2	0	0	0	0	0	1	0	0	0	0	3	0	0	17	0	28	0	1	155	15	11	65	7
OTU100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU102	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU86	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU90	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU67	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU11	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	1	0	0	0
OTU6	0	0	0	0	2	0	2	1	0	0	0	9	0	0	0	1	0	59	0	8	3	2	0	8	16	0	0
OTU85	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
